TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE,ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED,ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE
DEMO,CQS76416,TABLE,CQS76416,USER,CQS76416SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,0,NORMAL,OFF,0,2022-09-24 15:39:00:865582,2022-09-25,2022-09-24 15:39:00:865582,2022-09-24 16:35:18:184372,"'-1",NONE,ROW,NO,,,,NO
TABLE1,CQS76416,TABLE,CQS76416,USER,CQS76416SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,29,NORMAL,OFF,13,2022-09-24 10:44:08:115371,2022-09-26,2022-09-24 10:44:08:115371,2022-09-24 16:35:20:825907,"'-1",NONE,ROW,NO,,,,NO
TABLE2,CQS76416,TABLE,CQS76416,USER,CQS76416SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,42,NORMAL,OFF,4,2022-09-24 14:44:16:947521,2022-09-26,2022-09-24 14:44:16:947521,2022-09-24 16:35:18:013361,"'-1",NONE,ROW,NO,,,,NO
TABLE3,CQS76416,TABLE,CQS76416,USER,CQS76416SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,0,NORMAL,OFF,0,2022-09-24 14:50:03:368331,2022-09-26,2022-09-24 14:50:03:368331,2022-09-26 15:19:03:362381,"'-1",NONE,ROW,NO,,,,NO
TABLE4,CQS76416,TABLE,CQS76416,USER,CQS76416SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,65,NORMAL,OFF,2,2022-09-24 14:56:01:538862,2022-09-26,2022-09-24 14:56:01:538862,2022-09-24 16:35:22:493858,"'-1",NONE,ROW,NO,,,,NO
TABLE5,CQS76416,TABLE,CQS76416,USER,CQS76416SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,57,NORMAL,OFF,1,2022-09-24 15:06:00:505828,2022-09-26,2022-09-24 15:06:00:505828,2022-09-24 15:09:07:490626,"'-1",NONE,ROW,NO,,,,NO
