TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE,ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED,ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE
DEMO,QPW86742,TABLE,QPW86742,USER,QPW86742SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-09-26 06:19:34:835110,0001-01-01,2022-09-26 06:19:34:835110,,"'-1",NONE,ROW,NO,,,,NO
TEST1,QPW86742,TABLE,QPW86742,USER,QPW86742SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,54,NORMAL,OFF,16,2022-09-25 12:50:23:052135,2022-09-25,2022-09-25 12:50:23:052135,2022-09-26 07:16:56:752317,"'-1",NONE,ROW,NO,,,,NO
TEST2,QPW86742,TABLE,QPW86742,USER,QPW86742SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,34,NORMAL,OFF,14,2022-09-26 05:11:40:531911,2022-09-26,2022-09-26 05:11:40:531911,2022-09-26 07:16:56:916411,"'-1",NONE,ROW,NO,,,,NO
TEST3,QPW86742,TABLE,QPW86742,USER,QPW86742SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,40,NORMAL,OFF,13,2022-09-26 05:20:05:256663,2022-09-26,2022-09-26 05:20:05:256663,2022-09-26 09:21:57:136384,"'-1",NONE,ROW,NO,,,,NO
TEST4,QPW86742,TABLE,QPW86742,USER,QPW86742SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,46,NORMAL,OFF,10,2022-09-26 05:25:20:925701,2022-09-26,2022-09-26 05:25:20:925701,2022-09-26 09:21:57:288269,"'-1",NONE,ROW,NO,,,,NO
TEST5,QPW86742,TABLE,QPW86742,USER,QPW86742SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,49,NORMAL,OFF,2,2022-09-26 05:59:16:939528,2022-09-26,2022-09-26 05:59:16:939528,2022-09-27 04:51:38:628823,"'-1",NONE,ROW,NO,,,,NO
