TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE,ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED,ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE
DEMO,CDC82006,TABLE,CDC82006,USER,CDC82006SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-10-11 05:58:19:239683,2022-10-11,2022-10-11 05:58:19:239683,,"'-1",NONE,ROW,NO,,,,NO
DEMO1,CDC82006,TABLE,CDC82006,USER,CDC82006SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-10-11 06:13:55:520576,2022-10-11,2022-10-11 06:13:55:520576,,"'-1",NONE,ROW,NO,,,,NO
DEMO2,CDC82006,TABLE,CDC82006,USER,CDC82006SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-10-11 06:16:06:276453,2022-10-11,2022-10-11 06:16:06:276453,,"'-1",NONE,ROW,NO,,,,NO
DEMO4,CDC82006,TABLE,CDC82006,USER,CDC82006SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-10-11 06:22:36:195149,2022-10-11,2022-10-11 06:22:36:195149,,"'-1",NONE,ROW,NO,,,,NO
DEMO5,CDC82006,TABLE,CDC82006,USER,CDC82006SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-10-11 06:23:31:943061,2022-10-11,2022-10-11 06:23:31:943061,,"'-1",NONE,ROW,NO,,,,NO
