TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE,ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED,ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE
DATA1,WML88404,TABLE,WML88404,USER,WML88404SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-09-26 05:04:38:670529,2022-09-27,2022-09-26 05:04:38:670529,,"'-1",NONE,ROW,NO,,,,NO
DATA2,WML88404,TABLE,WML88404,USER,WML88404SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-09-26 05:07:46:358978,2022-09-26,2022-09-26 05:07:46:358978,,"'-1",NONE,ROW,NO,,,,NO
DATA3,WML88404,TABLE,WML88404,USER,WML88404SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-09-26 05:11:39:264773,2022-09-26,2022-09-26 05:11:39:264773,,"'-1",NONE,ROW,NO,,,,NO
DATA4,WML88404,TABLE,WML88404,USER,WML88404SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-09-26 05:14:40:481267,2022-09-26,2022-09-26 05:14:40:481267,,"'-1",NONE,ROW,NO,,,,NO
DATA5,WML88404,TABLE,WML88404,USER,WML88404SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-09-26 05:18:00:930965,2022-09-26,2022-09-26 05:18:00:930965,,"'-1",NONE,ROW,NO,,,,NO
EMPLOYEEDATA,WML88404,TABLE,WML88404,USER,WML88404SPACE1,,,R,NO, ,NONE,"'-1",No compression is enabled, ,NO DATABASE PARTITIONING,"'-1",NORMAL,OFF,"'-1",2022-09-26 05:23:45:907934,0001-01-01,2022-09-26 05:23:45:907934,,"'-1",NONE,ROW,NO,,,,NO
