TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE,ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED,ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE
DEMO,SPZ64221,TABLE,SPZ64221,USER,SPZ64221SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,28,NORMAL,OFF,9,2022-09-24 10:17:09:357213,25-09-2022,2022-09-24 10:17:09:357213,2022-09-26 06:02:06:344213,'-1,NONE,ROW,NO,,,,NO
DEMO1,SPZ64221,TABLE,SPZ64221,USER,SPZ64221SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,20,NORMAL,OFF,5,2022-09-26 04:54:05:959870,0001-01-01,2022-09-26 04:54:05:959870,2022-09-26 06:02:07:212230,'-1,NONE,ROW,NO,,,,NO
DEMO2,SPZ64221,TABLE,SPZ64221,USER,SPZ64221SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,3,2022-09-26 04:59:18:384350,26-09-2022,2022-09-26 04:59:18:384350,2022-09-26 06:02:06:860446,'-1,NONE,ROW,NO,,,,NO
DEMO3,SPZ64221,TABLE,SPZ64221,USER,SPZ64221SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,26,NORMAL,OFF,2,2022-09-26 05:03:21:330608,26-09-2022,2022-09-26 05:03:21:330608,2022-09-26 06:02:04:663762,'-1,NONE,ROW,NO,,,,NO
DEMO4,SPZ64221,TABLE,SPZ64221,USER,SPZ64221SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,35,NORMAL,OFF,1,2022-09-26 05:09:55:122517,26-09-2022,2022-09-26 05:09:55:122517,2022-09-26 05:12:00:705809,'-1,NONE,ROW,NO,,,,NO
EXCELSHEET,SPZ64221,TABLE,SPZ64221,USER,SPZ64221SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,0,NORMAL,OFF,0,2022-09-26 05:17:04:411738,26-09-2022,2022-09-26 05:17:04:411738,2022-09-26 05:44:24:109909,'-1,NONE,ROW,NO,,,,NO
